compound_id,smiles,activity_label,activity_value_um
CID-2057118,C1=CC=C(C=C1)C=CCN2C3=CC=CC=C3C(=O)C2=O,active,
CID-2057165,CC(C)CN(CCC(=O)O)CC(C)C,active,
CID-2064069,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2NC(=O)CCl,active,
CID-2078229,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=O)C4=CC=CC=C4O3,active,
CID-2078638,COCCOC(=O)C(=CC1=CN(N=C1C2=CN=CC=C2)CC3=CC=CC=C3)C#N,active,
CID-2083279,C1=CC=C(C=C1)CNC(=O)C2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC(=C3)C(F)(F)F,active,
CID-2083510,C1CN(CCN1C2=CC=CC=C2)C(=O)C3=CC(=O)NC4=CC=CC=C43,active,
CID-2097351,COC1=CC(=C(C=C1)C(=O)NN2C=NC3=C(C2=O)C(=CS3)C4=CC=CS4)O,active,
CID-2102546,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC(=O)NC4=CC=CC=C43,active,
CID-2104090,CC1=CC=C(C=C1)C2=NN(C=C2NC(=O)CCl)C3=CC=CC=C3,active,
CID-2106192,C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)COC(=O)CCC3=CNC4=CC=CC=C43,active,
CID-2108058,COC1=CC=C(C=C1)NS(=O)(=O)C2=CC3=C(C=C2)OC(=N3)NC4=CC5=C(C=C4)OCCO5,active,
CID-2121076,C1COCCN1S(=O)(=O)C2=CC=C(S2)CC(=O)NC3=C(C=C(S3)C4=CC=CC=C4)C(=O)N,active,
CID-2134372,CC1=CC=C(C=C1)S(=O)(=O)C(=CCl)NC(=O)C2=CC=CC=C2,active,
CID-2145491,CC1=C2C(=CC=C1)C(=O)C(=O)N2CCOC3=CC=CC=C3,active,
CID-2147111,C1CN(CCN1C2=CC=CC=C2)C(=S)NC3=CC(=CC=C3)S(=O)(=O)C(F)F,active,
CID-2149567,COC(=O)COC1=CC=CC2=C1C=CN(C2=O)CC(=O)NCC3=CC=CC=C3,active,
CID-2193552,CC1=C(C=C(C=C1)OCC(=O)NC2=C(C=C(C=C2)C(=O)O)NC(=O)COC3=CC(=C(C=C3)C)C)C,active,
CID-2229132,C1CCN(CC1)S(=O)(=O)C2=CC=C(C=C2)OCC(=O)NC3=CC=CC=C3F,active,
CID-2282752,C1=CC=C(C=C1)CCCN2C3=CC=CC=C3C(=O)C2=O,active,
